Participant 1,Participant 2,Rounds,Score,Winner
meeeli,migawiga,ft20,20 - 9,meeeli
.seised,alfa,ft20,20-18,sisid
Alfa,Fen,ft20,20 - 13,Alfa
Rian,Mirokaz,ft20,20 - 16,Rian
Fen,Annis,ft20,20 - 17,Fen
Annis,Miro,ft20,20 - 15,Annis
Annis,Akeira,ft20,20 - 7,Annis
Miro,Akeira,ft20,20 - 3,Miro
.seised,alfa,ft20,20-14,sisid
Aliya,Astaroth,ft20,20 - 19,Aliya
Tadex,Nyalfa,ft20,20 - 5,Tadex
Tadex,Fen,ft20,20 - 17,Tadex
Aliya,Astaroth,ft20,20 - 17,Aliya
Aliya,Akeira,ft20,20 - 9,Aliya
Alfa,Seised,ft20,20 - 18,Seised
Alfa,Seised,ft20,20 - 16,Seised
Tadex,Akeira,ft20,20 - 2,Tadex
A2,Akeira,ft20,20 - 1,A2
Tadex,Miro,ft20,20 - 12,Tadex
Alfa,Seised,ft20,20 - 18,Alfa
Ravanello,Akeira,ft20,20 - 7,Ravanello
chen,rian,ft1,1-0,chen
<@535508488399355904>,<@338411288655036431>,ft20,20-18,Asta
chen,rian,ft20,0-20,riano
Ren,Helado,ft20,20 - 5,Helado
annis,seised,ft20,20 - 14,annis
meeeli,lunicia,ft20,15 - 20,lunicia
Xanix,MIro,ft20,20 - 15,Xanix
.seised,rian,ft20,20-6,sisid
.seised,alfa,ft20,20-19,alfa
miro,annis,ft20,20 - 12,miro
.seised,seinn,ft20,20-12,sisid
miro,annis,ft20,20 - 14,annis
miro,alfa,ft20,20-6,alfa
.seised,veinn,ft20,20-13,sisid
Adrian,Annis,ft20,20 - 7,Adrian
Adrian,Aliya,ft20,20-13,Adrian
Adrian,Rian,ft20,14 - 20,Adrian
Adrian,zender,ft20,8 - 20,Adrian
Rian,Sween,ft20,20 - 10,Rian
Adrian,zender,ft20,11 - 20,Adrian
sc,zender,ft20,12 - 20,sc
Rian,Ren(Goat),ft20,20 - 12,Rian
Adrian,zender,ft20,11 - 20,Adrian
Eren Jeager,Eren Jeager coloured,ft20,6-1 Eren Jeager Colored quit,Eren Jeager
Ren,Helado,ft20,20 - 19,Helado
Tad,zender,ft20,14 - 20,Tad
tadex,adrian,ft20,10 - 20,adrian
Ren,Helado,ft100,100 - 4,Helado
Ren,Helado,ft20,20 - 2,Helado
Miro,Annis,ft20,20 - 18,Miro
Annis,Miro,ft20,20 - 18,Annis
Miro,Annis,ft20,20 - 18,Miro
Ren,Helado,ft20,20 - 0,Ren
Xanix,Aliya,ft20,20 - 18,Xanix
Aliya,Miro,ft20,20 - 17,Aliya
tadex,sc,ft20,18 - 20,dud
Adrian,Fabiasheen,ft20,20 - 5,Adrian
Ren,Helado,ft20,20 - 0,Helado
Adrian,Zender,ft20,20 - 5,Adrian (this was personal)
Adrian,Annis,ft20,20 - 5,Adrian
hedin,zender,ft20,14 - 20,hedin
Ren,Helado,ft20,20 - 2,Helado
Miro,Zender,ft20,20 - 12,zender
.bruki,.seised,ft1,1 - 0,.bruki
SC,Zender,ft20,20 - 17,SC
